offense_team_name,defense_team_name,season,week,play_uuid,gsis_play_id,game_id,gsis_game_id,gsis_old_game_id,drive_uuid,play_game_index,play_drive_index,play_quarter,play_quarter_clock_remaining,play_clock_paused,play_start_event_index,play_end_event_index,play_offense_team_id,play_offense_team_short_name,play_defense_team_id,play_defense_team_short_name,play_offense_is_home_team,play_down,play_yards_to_go,play_yardline,play_start_position,play_home_score,play_away_score,play_home_timeouts_remaining,play_away_timeouts_remaining,play_box_players,play_defensive_back_depths,play_linebacker_depths,play_shotgun,play_pre_snap_motion,play_snap_hurried,play_success,play_first_down_won,play_touchdown_won,play_yards_net,play_points_won,play_type,play_included_fake,play_qb_pressure,play_qb_hit,play_qb_sacked,play_pass_yards_air,play_pass_yards_after_catch,play_pass_outcome,play_pass_dropped,play_pass_intercepted,play_pass_interception_dropped,play_time_to_pass,play_pass_batted,play_yards_run,play_penalty_yards,play_penalty_first_down,play_penalty_down_loss,play_penalty_offset,play_return_yards,play_field_goal_result,play_extra_point_result,play_kick_yards,play_kick_hangtime,play_kick_blocked,play_kick_fair_catch,play_kick_downed,play_fumbled,play_fumble_forced,play_fumble_lost,play_fumble_out_of_bounds,play_challenged,play_action_pass,play_points_lost,play_start_position_yards,play_penalty_types,play_explosive,play_offensive_personnel,play_defensive_personnel,play_turnover_type,play_offense_penalty_accepted,play_defense_penalty_accepted,play_offense_flagged,play_defense_flagged,play_tackle_success,play_lateral_success,play_yards_gained,play_epoch_uuid,play_offense_players_left,play_offense_players_right,play_snap_y,play_down_negated,play_point_of_attack_y,play_point_of_attack_dy,play_pocket_front_x,play_pocket_back_x,play_pocket_left_y,play_pocket_right_y,play_qb_exit_pocket_x,play_qb_exit_pocket_y,play_qb_exit_pocket_clock,play_run_gap,play_qb_dropback_depth,play_run_behind_1,play_run_behind_2,play_run_at,play_receiver_screen_pass,play_derived_pressure_gaps,play_pass_air_yards_to_the_sticks,play_pass_within_pocket,play_designed_pass,play_qb_rush,play_pass_thrownaway,play_formation_into_boundary,play_blitz,play_simulated_pressure,play_drop_eight,play_pass_comp_prob,play_catch_prob_with_placement,play_catch_prob_without_placement,play_initial_formation_run_strength,play_initial_formation_pass_strength,play_initial_formation_snap_side,play_initial_formation_fib,play_formation_run_strength,play_formation_pass_strength,play_formation_fib,play_pass_location,play_initial_formation,play_formation,play_punt_snap_time,play_punt_operation_time,play_punt_hang_time,play_net_punt_yards,play_gross_punt_yards,play_punt_roll_yards,play_punt_air_yards,play_punt_return_yards,play_punt_block_point_x,play_punt_block_point_y,play_punt_outcome,play_kickoff_x,play_kickoff_y,play_kickoff_land_x,play_kickoff_land_y,play_kickoff_outcome,play_kick_hang_time,play_kickoff_return_yards,play_kickoff_return_chunk,play_kickoff_return_explosive,play_fg_snap_time,play_fg_operation_time,play_fg_attempted,play_fg_made,play_fg_kick_blocked,play_fg_length,play_xp_snap_time,play_xp_operation_time,play_xp_attempted,play_xp_made,play_xp_kick_blocked,play_motion_type,play_havoc,play_qb_scramble,play_contested_catch_attempt,play_pass_made,play_yards_after_contact,play_target_separation,play_pass_placement_displacement,play_tackle_types,play_catch_separation,play_handoff_received
New Orleans Saints,Tampa Bay Buccaneers,2020/2021,Week 1,f3bd55bc-2b13-4909-a1a8-70da68b431c2,40,1503686,2020_01_TB_NO,2020091310,f3bd55bc-2b13-4909-a1a8-70da68b431c2,1,1,1,900000,TRUE,2,6,1001295,NO,1000947,TB,TRUE,NA,NA,64.93,NA,0,0,3,3,0,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,0,Kickoff,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,{},NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.93,26,-9.65,15.39,Touch-Back,3.747254999999999,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{},NA,NA
New Orleans Saints,Tampa Bay Buccaneers,2020/2021,Week 1,0529db6b-79a9-4406-9405-b3f2944e5a9f,55,1503686,2020_01_TB_NO,2020091310,f3bd55bc-2b13-4909-a1a8-70da68b431c2,2,2,1,900000,TRUE,7,61,1001295,NO,1000947,TB,TRUE,1,10,25.22,center,0,0,3,3,10,"{1.2905397326820491,14.26553672894471,5.290035969730425,0.9933663830191506}","{0.7115165487620914,3.6342450300385565,3.328566109621157,0.7566503087603067}",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,13.89,0,Pass,TRUE,NA,FALSE,FALSE,-1.1199999999999974,15.009999999999998,TRUE,FALSE,FALSE,FALSE,2.2990279999999927,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.02666666666666728,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 4, ""DL"": 3, ""LB"": 4}",NA,NA,NA,FALSE,FALSE,TRUE,NA,13.89,341f7f1c-34c4-4e1e-9cdf-82ae9230a7b6,1,3,26.64,FALSE,NA,NA,25.22,15.22,23.28800183048768,30.020248179949505,NA,NA,NA,NA,8.459283682717668,NA,NA,NA,NA,NA,-11.119999999999996,TRUE,NA,NA,FALSE,NA,TRUE,NA,NA,0.90098136660000006,0.9630380273,0.9487149715,NA,NA,L,Y,R,R,Y,In,Trey Right,Trey Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jet,NA,NA,TRUE,TRUE,2.1300000000000026,5.5459092746336855,0.32261596364718226,"{""Solo - Success""}",6.141051089952361,NA
New Orleans Saints,Tampa Bay Buccaneers,2020/2021,Week 1,616b849b-1386-48fb-8e44-9b758ef9ba80,83,1503686,2020_01_TB_NO,2020091310,f3bd55bc-2b13-4909-a1a8-70da68b431c2,3,3,1,870000,TRUE,62,104,1001295,NO,1000947,TB,TRUE,1,10,39.11,right,0,0,3,3,8,"{5.960000000000001,2.0600000000000023,12.68,2.4399999999999977,7.090000000000003}","{0.6300000000000026,3.9399999999999977,3.6599999999999966,0.8299999999999983}",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4.210000000000001,0,Rush,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,9.410000000000004,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,3.1833333333333336,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 2, ""LB"": 4}",NA,NA,NA,FALSE,FALSE,TRUE,NA,4.210000000000001,62b8c94d-6ac9-45e4-a189-1e04fa36bde3,1,3,29.35,FALSE,NA,NA,38.92,28.92,26.96666666666667,33.32666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,R,X,L,R,X,NA,Ace Twins Left,Ace Twins Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jet,NA,FALSE,NA,NA,1.4399999999999975,NA,NA,"{""Solo assisted - Success"",""Assisted - Success""}",NA,NA
New Orleans Saints,Tampa Bay Buccaneers,2020/2021,Week 1,1342526e-0883-4ed1-968d-7bfc0db26604,104,1503686,2020_01_TB_NO,2020091310,f3bd55bc-2b13-4909-a1a8-70da68b431c2,4,4,1,834000,TRUE,105,149,1001295,NO,1000947,TB,TRUE,2,5.789999999999999,43.32,right,0,0,3,3,6,"{8.020000000000003,2.5,14.600000000000001,3.3900000000000006,7.960000000000001}","{0.240000000000002,2.8699999999999974,3.3599999999999994,0.6499999999999986}",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-2.3100000000000023,0,Pass,FALSE,NA,FALSE,FALSE,-6.729999999999997,4.419999999999995,TRUE,FALSE,FALSE,FALSE,2.0314069999999873,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3.6133333333333337,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 2, ""LB"": 4}",NA,NA,NA,FALSE,FALSE,TRUE,NA,-2.3100000000000023,d330b46c-d7d3-422e-8718-911c87d1eb0b,3,2,30.28,FALSE,NA,NA,43.32,33.32,26.686666666666667,33.27666666666667,NA,NA,NA,NA,8.170000000000002,NA,NA,NA,NA,NA,-12.519999999999996,TRUE,NA,NA,FALSE,FALSE,NA,NA,TRUE,0.9084825516,0.9638764262,0.9482930899,NA,NA,R,Y,L,L,Y,In,Empty 3x2 Left Z on,Empty 3x2 Left Z on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jet,NA,NA,TRUE,TRUE,1.0599999999999952,11.21098122378233,0.4998702431631633,"{""Assisted - Success"",""Solo assisted - Success""}",8.467845062352053,NA
New Orleans Saints,Tampa Bay Buccaneers,2020/2021,Week 1,1b73b87e-cf90-40b8-9eb7-05c2772679a6,128,1503686,2020_01_TB_NO,2020091310,f3bd55bc-2b13-4909-a1a8-70da68b431c2,5,5,1,792000,TRUE,150,197,1001295,NO,1000947,TB,TRUE,3,8.100000000000001,41.01,left,0,0,3,3,6,"{3.770000000000003,12.350000000000001,3.8999999999999986,13.160000000000004,8.380000000000003}","{0.720000000000006,3.8599999999999994,3.3999999999999986,0.7899999999999991}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4.950000000000003,0,Pass,FALSE,NA,FALSE,FALSE,3.210000000000001,1.740000000000002,TRUE,FALSE,FALSE,FALSE,3.394789999999972,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-3.0566666666666684,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 2, ""LB"": 4}",NA,NA,NA,FALSE,FALSE,TRUE,NA,4.950000000000003,704e00e1-8a99-4ab1-99b7-79761dead7c0,1,3,23.61,FALSE,NA,NA,41.01,31.01,20.666666666666668,27.10666666666667,NA,NA,NA,NA,9.809999999999995,NA,NA,NA,NA,NA,-4.890000000000001,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,0.7521252036,0.9410387874,0.8743766546,NA,NA,NA,NA,L,R,X,In,NA,Trips Left H on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,0.3999999999999986,5.813948744184111,0.38537319574666834,"{""Solo - Success""}",3.135123602029109,NA
New Orleans Saints,Tampa Bay Buccaneers,2020/2021,Week 1,d4c4c2d6-9e4f-4cc8-9b61-46cfb6b6745b,156,1503686,2020_01_TB_NO,2020091310,f3bd55bc-2b13-4909-a1a8-70da68b431c2,6,6,1,748000,TRUE,198,203,1001295,NO,1000947,TB,TRUE,4,3.1499999999999986,45.96,right,0,0,3,3,0,{},{},TRUE,FALSE,TRUE,NA,FALSE,FALSE,39.07,0,Punt,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,39.13999999999999,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,2.713333333333331,{},NA,NA,NA,Turnover from Punt,NA,NA,FALSE,FALSE,NA,NA,39.07,NA,NA,NA,29.38,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8135929999999973,2.126589999999993,4.443804,39.13999999999999,39.13999999999999,NA,39.13999999999999,0,11.28,0.870000000000001,Fair Catch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{},NA,NA
Tampa Bay Buccaneers,New Orleans Saints,2020/2021,Week 1,61b2c304-728d-46d0-91d4-e9853b769593,179,1503686,2020_01_TB_NO,2020091310,61b2c304-728d-46d0-91d4-e9853b769593,7,1,1,740000,TRUE,206,250,1000947,TB,1001295,NO,FALSE,1,10,14.900000000000006,left,0,0,3,3,6,"{8.639999999999986,12.219999999999999,12.009999999999991,4.789999999999992,6.859999999999999}","{3.6699999999999875,4.459999999999994}",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4.039999999999992,0,Rush,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,8.719999999999999,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,-3.213333333333331,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 1, ""WR"": 3}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",NA,NA,NA,FALSE,FALSE,TRUE,NA,4.039999999999992,b6d48364-39a1-4a3a-aae4-f1b79e66b77e,2,2,23.453333333333337,FALSE,32.52845238095239,9.07511904761905,14.900000000000006,4.900000000000006,19.826666666666668,26.576666666666668,NA,NA,NA,Right Open C Gap,NA,1024471,NA,1024412,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,O,NA,NA,Deuce Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,3.6599999999999966,NA,NA,"{""Solo - Success"",""Solo - Missed""}",NA,NA
Tampa Bay Buccaneers,New Orleans Saints,2020/2021,Week 1,40460bb5-5576-44ca-bd71-7bd65e7b8680,200,1503686,2020_01_TB_NO,2020091310,61b2c304-728d-46d0-91d4-e9853b769593,8,2,1,706000,TRUE,251,285,1000947,TB,1001295,NO,FALSE,2,5.960000000000008,18.94,NA,0,0,3,3,0,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,6.219999999999999,0,Pass,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,1.980310000000003,FALSE,0,0,TRUE,FALSE,FALSE,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,{pass_interference},NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,6.219999999999999,403851d1-b81a-4019-89e0-48fdb43164a1,NA,NA,30.183333333333337,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,0.6049469709,0.4194040596,0.6858815551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,1.3219866943354612,{},1.1200446419674532,NA
Tampa Bay Buccaneers,New Orleans Saints,2020/2021,Week 1,9361f783-c9f9-4982-bb1d-f78bbf82933a,233,1503686,2020_01_TB_NO,2020091310,61b2c304-728d-46d0-91d4-e9853b769593,9,3,1,702000,TRUE,287,346,1000947,TB,1001295,NO,FALSE,1,10,25.159999999999997,left,0,0,3,3,7,"{0.9200000000000017,5.840000000000003,14.909999999999997,6.070000000000007,8.980000000000004}","{4.400000000000006,4.510000000000005}",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,28.930000000000007,0,Pass,TRUE,NA,FALSE,FALSE,25.520000000000003,3.4100000000000037,TRUE,FALSE,FALSE,FALSE,3.954379000000017,FALSE,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,-3.203333333333333,{},TRUE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 2, ""WR"": 2}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",NA,NA,NA,FALSE,FALSE,NA,NA,28.930000000000007,103d3abc-0a1c-477a-9999-d8515a9e1a27,2,2,23.17333333333334,FALSE,NA,NA,24.760000000000005,14.760000000000003,20.186666666666667,26.44666666666667,NA,NA,NA,NA,8.810000000000002,NA,NA,NA,NA,NA,15.520000000000003,NA,NA,NA,FALSE,FALSE,NA,NA,NA,0.4327533245,0.7609185576,0.7571313381,NA,NA,L,Y,L,R,X,Right,Triple Pair Left,Twins Pair Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Over,NA,NA,TRUE,TRUE,NA,1.20070812439994,0.39506913319063536,{},1.9633135256499408,NA
Tampa Bay Buccaneers,New Orleans Saints,2020/2021,Week 1,8fa70809-08a2-428d-834f-0835b4da67ee,262,1503686,2020_01_TB_NO,2020091310,61b2c304-728d-46d0-91d4-e9853b769593,10,4,1,683000,TRUE,347,391,1000947,TB,1001295,NO,FALSE,1,10,54.09,right,0,0,3,3,7,"{0.41043807732670246,1.1756788179493114,14.21884332808996,6.623954797126785,1.070541075011029}","{3.255373953482021,4.5119876514946355}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.0800000000000054,0,Rush,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0,NA,4.939999999999998,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,3.216666666666669,{},FALSE,"{""OL"": 5, ""QB"": 1, ""RB"": 1, ""TE"": 2, ""WR"": 2}","{""DB"": 5, ""DL"": 4, ""LB"": 2}",NA,NA,NA,FALSE,FALSE,TRUE,NA,-0.0800000000000054,eb02644f-895b-4dc9-ada7-0ac035d116b9,3,1,29.883333333333336,FALSE,25.843333333333337,-4.039999999999999,54.09,44.09,26.46666666666667,32.31666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,L,X,NA,NA,Ace Twins Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,2.6599999999999966,NA,NA,"{""Assisted - Success"",""Solo assisted - Success"",""Solo - Missed""}",NA,NA
